"死亡年週","肺炎及流感死亡人數","四周移動平均"
"200801",168,0
"200802",220,0
"200803",201,0
"200804",212,200.25
"200805",217,212.5
"200806",250,220
"200807",267,236.5
"200808",294,257
"200809",250,265.25
"200810",286,274.25
"200811",263,273.25
"200812",240,259.75
"200813",229,254.5
"200814",259,247.75
"200815",261,247.25
"200816",228,244.25
"200817",233,245.25
"200818",213,233.75
"200819",224,224.5
"200820",217,221.75
"200821",220,218.5
"200822",218,219.75
"200823",229,221
"200824",196,215.75
"200825",197,210
"200826",240,215.5
"200827",221,213.5
"200828",206,216
"200829",219,221.5
"200830",206,213
"200831",237,217
"200832",212,218.5
"200833",211,216.5
"200834",222,220.5
"200835",200,211.25
"200836",231,216
"200837",205,214.5
"200838",226,215.5
"200839",207,217.25
"200840",235,218.25
"200841",212,220
"200842",216,217.5
"200843",225,222
"200844",218,217.75
"200845",240,224.75
"200846",215,224.5
"200847",232,226.25
"200848",240,231.75
"200849",257,236
"200850",252,245.25
"200851",269,254.5
"200852",274,263
"200853",,
"200901",287,270.5
"200902",299,282.25
"200903",346,301.5
"200904",327,314.75
"200905",375,336.75
"200906",341,347.25
"200907",319,340.5
"200908",327,340.5
"200909",279,316.5
"200910",282,301.75
"200911",271,289.75
"200912",265,274.25
"200913",211,257.25
"200914",85,208
"200915",251,203
"200916",259,201.5
"200917",202,199.25
"200918",193,226.25
"200919",232,221.5
"200920",196,205.75
"200921",191,203
"200922",218,209.25
"200923",237,210.5
"200924",239,221.25
"200925",242,234
"200926",205,230.75
"200927",211,224.25
"200928",193,212.75
"200929",220,207.25
"200930",224,212
"200931",228,216.25
"200932",246,229.5
"200933",205,225.75
"200934",254,233.25
"200935",215,230
"200936",214,222
"200937",186,217.25
"200938",236,212.75
"200939",202,209.5
"200940",218,210.5
"200941",220,219
"200942",207,211.75
"200943",250,223.75
"200944",228,226.25
"200945",227,228
"200946",232,234.25
"200947",227,228.5
"200948",240,231.5
"200949",241,235
"200950",253,240.25
"200951",232,241.5
"200952",272,249.5
"200953",233,247.5
"201001",249,246.5
"201002",224,244.5
"201003",254,240
"201004",276,250.75
"201005",286,260
"201006",258,268.5
"201007",270,272.5
"201008",301,278.75
"201009",253,270.5
"201010",233,264.25
"201011",259,261.5
"201012",251,249
"201013",270,253.25
"201014",259,259.75
"201015",249,257.25
"201016",257,258.75
"201017",221,246.5
"201018",250,244.25
"201019",258,246.5
"201020",221,237.5
"201021",248,244.25
"201022",243,242.5
"201023",223,233.75
"201024",275,247.25
"201025",243,246
"201026",255,249
"201027",290,265.75
"201028",243,257.75
"201029",273,265.25
"201030",256,265.5
"201031",280,263
"201032",274,270.75
"201033",256,266.5
"201034",250,265
"201035",260,260
"201036",302,267
"201037",279,272.75
"201038",274,278.75
"201039",276,282.75
"201040",264,273.25
"201041",239,263.25
"201042",227,251.5
"201043",275,251.25
"201044",257,249.5
"201045",241,250
"201046",258,257.75
"201047",231,246.75
"201048",239,242.25
"201049",277,251.25
"201050",297,261
"201051",291,276
"201052",294,289.75
"201101",331,303.25
"201102",398,328.5
"201103",390,353.25
"201104",436,388.75
"201105",474,424.5
"201106",426,431.5
"201107",456,448
"201108",457,453.25
"201109",445,446
"201110",406,441
"201111",396,426
"201112",403,412.5
"201113",401,401.5
"201114",434,408.5
"201115",388,406.5
"201116",335,389.5
"201117",355,378
"201118",333,352.75
"201119",312,333.75
"201120",289,322.25
"201121",327,315.25
"201122",319,311.75
"201123",320,313.75
"201124",290,314
"201125",278,301.75
"201126",282,292.5
"201127",284,283.5
"201128",266,277.5
"201129",266,274.5
"201130",279,273.75
"201131",273,271
"201132",247,266.25
"201133",249,262
"201134",263,258
"201135",256,253.75
"201136",228,249
"201137",236,245.75
"201138",261,245.25
"201139",281,251.5
"201140",239,254.25
"201141",274,263.75
"201142",241,258.75
"201143",305,264.75
"201144",282,275.5
"201145",305,283.25
"201146",278,292.5
"201147",267,283
"201148",293,285.75
"201149",291,282.25
"201150",280,282.75
"201151",336,300
"201152",337,311
"201201",368,330.25
"201202",390,357.75
"201203",407,375.5
"201204",401,391.5
"201205",414,403
"201206",440,415.5
"201207",405,415
"201208",386,411.25
"201209",360,397.75
"201210",355,376.5
"201211",351,363
"201212",307,343.25
"201213",291,326
"201214",289,309.5
"201215",284,292.75
"201216",318,295.5
"201217",308,299.75
"201218",277,296.75
"201219",287,297.5
"201220",263,283.75
"201221",244,267.75
"201222",287,270.25
"201223",271,266.25
"201224",281,270.75
"201225",312,287.75
"201226",339,300.75
"201227",326,314.5
"201228",342,329.75
"201229",343,337.5
"201230",277,322
"201231",318,320
"201232",324,315.5
"201233",332,312.75
"201234",273,311.75
"201235",298,306.75
"201236",286,297.25
"201237",310,291.75
"201238",273,291.75
"201239",272,285.25
"201240",270,281.25
"201241",302,279.25
"201242",250,273.5
"201243",263,271.25
"201244",290,276.25
"201245",259,265.5
"201246",253,266.25
"201247",277,269.75
"201248",257,261.5
"201249",263,262.5
"201250",287,271
"201251",298,276.25
"201252",318,291.5
"201301",327,307.5
"201302",342,321.25
"201303",321,327
"201304",341,332.75
"201305",341,336.25
"201306",319,330.5
"201307",352,338.25
"201308",342,338.5
"201309",345,339.5
"201310",321,340
"201311",332,335
"201312",291,322.25
"201313",297,310.25
"201314",298,304.5
"201315",299,296.25
"201316",345,309.75
"201317",310,313
"201318",290,311
"201319",315,315
"201320",287,300.5
"201321",303,298.75
"201322",307,303
"201323",298,298.75
"201324",326,308.5
"201325",317,312
"201326",288,307.25
"201327",320,312.75
"201328",281,301.5
"201329",296,296.25
"201330",278,293.75
"201331",283,284.5
"201332",296,288.25
"201333",311,292
"201334",292,295.5
"201335",284,295.75
"201336",301,297
"201337",307,296
"201338",283,293.75
"201339",307,299.5
"201340",293,297.5
"201341",299,295.5
"201342",277,294
"201343",305,293.5
"201344",299,295
"201345",299,295
"201346",283,296.5
"201347",296,294.25
"201348",274,288
"201349",280,283.25
"201350",336,296.5
"201351",336,306.5
"201352",328,320
"201401",400,350
"201402",391,363.75
"201403",391,377.5
"201404",362,386
"201405",412,389
"201406",436,400.25
"201407",399,402.25
"201408",443,422.5
"201409",423,425.25
"201410",393,414.5
"201411",416,418.75
"201412",390,405.5
"201413",408,401.75
"201414",360,393.5
"201415",405,390.75
"201416",348,380.25
"201417",312,356.25
"201418",335,350
"201419",317,328
"201420",330,323.5
"201421",287,317.25
"201422",292,306.5
"201423",331,310
"201424",331,310.25
"201425",273,306.75
"201426",346,320.25
"201427",323,318.25
"201428",329,317.75
"201429",322,330
"201430",367,335.25
"201431",350,342
"201432",333,343
"201433",325,343.75
"201434",330,334.5
"201435",331,329.75
"201436",325,327.75
"201437",322,327
"201438",310,322
"201439",296,313.25
"201440",343,317.75
"201441",345,323.5
"201442",312,324
"201443",319,329.75
"201444",312,322
"201445",278,305.25
"201446",285,298.5
"201447",303,294.5
"201448",262,282
"201449",292,285.5
"201450",290,286.75
"201451",303,286.75
"201452",350,308.75
"201453",320,315.75
"201501",358,332.75
"201502",401,357.25
"201503",383,365.5
"201504",323,366.25
"201505",341,362
"201506",404,362.75
"201507",386,363.5
"201508",398,382.25
"201509",388,394
"201510",363,383.75
"201511",432,395.25
"201512",373,389
"201513",366,383.5
"201514",401,393
"201515",345,371.25
"201516",346,364.5
"201517",345,359.25
"201518",396,358
"201519",353,360
"201520",321,353.75
"201521",344,353.5
"201522",324,335.5
"201523",363,338
"201524",402,358.25
"201525",389,369.5
"201526",408,390.5
"201527",377,394
"201528",416,397.5
"201529",372,393.25
"201530",346,377.75
"201531",334,367
"201532",331,345.75
"201533",301,328
"201534",304,317.5
"201535",314,312.5
"201536",349,317
"201537",362,332.25
"201538",332,339.25
"201539",355,349.5
"201540",335,346
"201541",332,338.5
"201542",318,335
"201543",328,328.25
"201544",340,329.5
"201545",330,329
"201546",321,329.75
"201547",301,323
"201548",367,329.75
"201549",371,340
"201550",361,350
"201551",372,367.75
"201552",348,363
"201601",359,360
"201602",376,363.75
"201603",431,378.5
"201604",478,411
"201605",488,443.25
"201606",595,498
"201607",657,554.5
"201608",647,596.75
"201609",583,620.5
"201610",589,619
"201611",531,587.5
"201612",477,545
"201613",463,515
"201614",452,480.75
"201615",443,458.75
"201616",411,442.25
"201617",375,420.25
"201618",370,399.75
"201619",354,377.5
"201620",381,370
"201621",364,367.25
"201622",362,365.25
"201623",342,362.25
"201624",323,347.75
"201625",381,352
"201626",366,353
"201627",362,358
"201628",360,367.25
"201629",352,360
"201630",356,357.5
"201631",366,358.5
"201632",372,361.5
"201633",350,361
"201634",358,361.5
"201635",349,357.25
"201636",326,345.75
"201637",335,342
"201638",349,339.75
"201639",360,342.5
"201640",362,351.5
"201641",383,363.5
"201642",354,364.75
"201643",363,365.5
"201644",355,363.75
"201645",339,352.75
"201646",393,362.5
"201647",394,370.25
"201648",369,373.75
"201649",384,385
"201650",405,388
"201651",400,389.5
"201652",386,393.75
"201701",424,403.75
"201702",377,396.75
"201703",392,394.75
"201704",413,401.5
"201705",465,411.75
"201706",447,429.25
"201707",494,454.75
"201708",452,464.5
"201709",403,449
"201710",423,443
"201711",381,414.75
"201712",382,397.25
"201713",380,391.5
"201714",429,393
"201715",368,389.75
"201716",360,384.25
"201717",370,381.75
"201718",378,369
"201719",399,376.75
"201720",359,376.5
"201721",364,375
"201722",392,378.5
"201723",382,374.25
"201724",423,390.25
"201725",371,392
"201726",464,410
"201727",441,424.75
"201728",477,438.25
"201729",484,466.5
"201730",450,463
"201731",474,471.25
"201732",456,466
"201733",448,457
"201734",408,446.5
"201735",386,424.5
"201736",362,401
"201737",417,393.25
"201738",377,385.5
"201739",418,393.5
"201740",387,399.75
"201741",370,388
"201742",389,391
"201743",388,383.5
"201744",367,378.5
"201745",369,378.25
"201746",320,361
"201747",380,359
"201748",368,359.25
"201749",382,362.5
"201750",408,384.5
"201751",426,396
"201752",453,417.25
"201801",475,440.5
"201802",441,448.75
"201803",511,470
"201804",471,474.5
"201805",459,470.5
"201806",568,502.25
"201807",573,517.75
"201808",594,548.5
"201809",511,561.5
"201810",511,547.25
"201811",496,528
"201812",459,494.25
"201813",469,483.75
"201814",428,463
"201815",458,453.5
"201816",451,451.5
"201817",388,431.25
"201818",415,428
"201819",391,411.25
"201820",367,390.25
"201821",408,395.25
"201822",408,393.5
"201823",413,399
"201824",403,408
"201825",428,413
"201826",410,413.5
"201827",415,414
"201828",435,422
"201829",403,415.75
"201830",401,413.5
"201831",409,412
"201832",415,407
"201833",417,410.5
"201834",359,400
"201835",392,395.75
"201836",386,388.5
"201837",413,387.5
"201838",407,399.5
"201839",424,407.5
"201840",410,413.5
"201841",412,413.25
"201842",435,420.25
"201843",396,413.25
"201844",414,414.25
"201845",395,410
"201846",374,394.75
"201847",339,380.5
"201848",388,374
"201849",374,368.75
"201850",377,369.5
"201851",420,389.75
"201852",419,397.5
"201901",480,424
"201902",437,439
"201903",430,441.5
"201904",467,453.5
"201905",530,466
"201906",465,473
"201907",515,494.25
"201908",505,503.75
"201909",486,492.75
"201910",451,489.25
"201911",472,478.5
"201912",468,469.25
"201913",492,470.75
"201914",464,474
"201915",446,467.5
"201916",442,461
"201917",426,444.5
"201918",427,435.25
"201919",385,420
"201920",448,421.5
"201921",440,425
"201922",400,418.25
"201923",436,431
"201924",438,428.5
"201925",450,431
"201926",430,438.5
"201927",424,435.5
"201928",441,436.25
"201929",481,444
"201930",455,450.25
"201931",446,455.75
"201932",419,450.25
"201933",418,434.5
"201934",458,435.25
"201935",436,432.75
"201936",486,449.5
"201937",482,465.5
"201938",450,463.5
"201939",445,465.75
"201940",472,462.25
"201941",416,445.75
"201942",444,444.25
"201943",454,446.5
"201944",438,438
"201945",436,443
"201946",398,431.5
"201947",412,421
"201948",426,418
"201949",457,423.25
"201950",498,448.25
"201951",516,474.25
"201952",440,477.75
"202001",444,474.5
"202002",486,471.5
"202003",436,451.5
"202004",529,473.75
"202005",528,494.75
"202006",552,511.25
"202007",504,528.25
"202008",530,528.5
"202009",462,512
"202010",458,488.5
"202011",412,465.5
"202012",413,436.25
"202013",415,424.5
"202014",423,415.75
"202015",410,415.25
"202016",382,407.5
"202017",333,387
"202018",348,368.25
"202019",371,358.5
"202020",373,356.25
"202021",327,354.75
"202022",323,348.5
"202023",334,339.25
"202024",349,333.25
"202025",382,347
"202026",369,358.5
"202027",403,375.75
"202028",338,373
"202029",362,368
"202030",395,374.5
"202031",380,368.75
"202032",348,371.25
"202033",348,367.75
"202034",383,364.75
"202035",353,358
"202036",379,365.75
"202037",407,380.5
"202038",391,382.5
"202039",413,397.5
"202040",378,397.25
"202041",364,386.5
"202042",408,390.75
"202043",415,391.25
"202044",377,391
"202045",393,398.25
"202046",367,388
"202047",392,382.25
"202048",436,397
"202049",415,402.5
"202050",431,418.5
"202051",407,422.25
"202052",450,425.75
"202053",405,423.25
"202101",512,443.5
"202102",511,469.5
"202103",583,502.75
"202104",472,519.5
"202105",489,513.75
"202106",486,507.5
"202107",456,475.75
"202108",498,482.25
"202109",431,467.75
"202110",409,448.5
"202111",403,435.25
"202112",389,408
"202113",451,413
"202114",381,406
"202115",395,404
"202116",392,404.75
"202117",399,391.75
"202118",398,396